Naziv stavke,Šifra stavke,KPD,Jedinična cijena,Mjerna jedinica,Zadani popust,Porezna stopa,Osnova oslobođenja,Razlog oslobođenja od PDV-a,Opis
Blupura Wall 2 push buttons,,28.29.12,"1.201,00",piece,,25,,,gazirana i hladna voda
Blupura Wall Touch Free ,,28.29.12,"1.191,00",piece,,25,,,hladna voda
Blupura Wall Built In 1 push button,,28.29.12,"1.003,00",piece,,25,,,hladna voda
Blupura Wall Built In 2 push buttons,,28.29.12,"1.201,00 ",piece,,25,,,gazirana i hladna voda
Blupura Wall Zero 1P,,28.29.12,"1.003,00",piece,,25,,,nerashlađena voda
Blupura Wall Zero 2P,,28.29.12,"1.201,00",piece,,25,,,nerashlađena i hladna voda
Blupura Wall Zero 2P Fizz,,28.29.12,"1.201,00",piece,,25,,,gazirana i hladna voda
Blupura Fontemagna I.T. 80,,28.29.12,"3.751,00",piece,,25,,,nerashlađena i hladna voda s automatskim dozatorom: 80 l/h
Blupura Fontemagna I.T. 80 Fizz,,28.29.12,"4.893,00",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 80 l/h"
Blupura Fontemagna I.T. 80 Fizz +,,28.29.12,"5.192,00",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 80 l/h"
Blupura Fontemagna I.T. 150,,28.29.12," 4.053,00",piece,,25,,,nerashlađena i hladna voda s automatskim dozatorom: 150 l/h
Blupura Fontemagna I.T. 150 Fizz,,28.29.12,"5.454,00",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 150 l/h"
Blupura Fontemagna I.T. 150 Fizz +,,28.29.12,"5.753,00",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 150 l/h"
Blupura Fontemagna Light 3.0 80,,28.29.12," 3.384,00",piece,,25,,,nerashlađena i hladna voda: 80 l/h
Blupura Fontemagna Light 3.0 80 Fizz,,28.29.12,"4.257,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 80 l/h"
Blupura Fontemagna Light 3.0 80 Fizz +,,28.29.12,"4.556,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 80 l/h"
Blupura Fontemagna Light 3.0 150,,28.29.12,"3.701,00",piece,,25,,,nerashlađena i hladna voda: 150 l/h
Blupura Fontemagna Light 3.0 150 Fizz,,28.29.12," 4.540,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 150 l/h"
Blupura Fontemagna Light 3.0 150 Fizz +,,28.29.12,"4.839,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 150 l/h"
Blupura Fontemagna Bridge I.T.,,28.29.12,"2.412,00",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom"
Blupura Fontemagna Bridge I.T. 3X,,28.29.12,"2.412,00",piece,,25,,,nerashlađena voda
